Tamaño,Base_de_datos,Ejecucion,Tiempo_simple_ms,Tiempo_agregado_ms,Throughput_req_s,CPU_%,Memoria_MiB,IO_MB_s,Almacenamiento_MB
Small,ColumnStore,results_20251107_004922,5944.0,2372.0,0.435748834371868,22.983870967741936,2600.680645161291,7.034242424242424,510.0
Small,ColumnStore,results_20251107_005006,4003.0,1285.0,0.31735956839098695,25.065714285714286,2464.857142857143,30.411666666666665,510.0
Small,ColumnStore,results_20251107_005055,8267.0,2250.0,0.3317409766454353,19.708333333333336,2835.2944444444447,867.6591891891891,510.0
Small,ColumnStore,results_20251107_005148,4845.0,2226.0,0.5016302984700276,14.372413793103446,2669.1793103448276,190.2741379310345,510.0
Small,ColumnStore,results_20251107_005228,3906.0,1034.0,0.4215673875468994,15.714285714285712,2798.296428571429,14.198965517241378,510.0
Small,ColumnStore,results_20251107_005313,3990.0,1229.0,0.351642168928898,14.018518518518519,2429.3074074074075,9.162758620689656,510.0
Small,ColumnStore,results_20251107_005359,4345.0,1593.0,0.3930663102865454,18.042857142857144,2539.860714285714,9.375714285714285,510.0
Small,ColumnStore,results_20251107_005442,5295.0,1981.0,0.4138387684158252,21.090322580645164,2292.851612903226,38.94806451612904,510.0
Small,ColumnStore,results_20251107_005527,4328.0,1164.0,0.5699629524080935,10.004166666666665,2608.8250000000003,9.089166666666666,510.0
Small,ColumnStore,results_20251107_005602,4308.0,1064.0,0.4903402961655389,15.684615384615382,2990.0730769230768,9.663703703703701,510.0
Small,ColumnStore,results_20251107_005640,3803.0,1016.9999999999999,0.2770773877143886,10.653846153846157,2624.587179487179,6.320769230769232,510.0
Small,ColumnStore,results_20251107_005734,5420.0,3105.0,0.262501640635254,13.28095238095238,2453.7880952380956,6.240232558139534,510.0
Small,ColumnStore,results_20251107_005833,3659.0,1053.0,0.34030968181044746,22.51379310344828,2837.572413793104,16.038666666666668,510.0
Small,ColumnStore,results_20251107_005919,3588.0,1029.0,0.29206460469055756,18.331249999999997,2740.46875,10.253939393939394,510.0
Medium,Influx,results_20251121_184411,33131.0,2629.0,1.117443289753045,18.517948717948716,1970.04358974359,7.130000000000001,433.0
Medium,Influx,results_20251121_184509,26890.0,2456.0,1.051967178624027,25.188888888888886,2215.8166666666666,5.322702702702704,433.0
Medium,Influx,results_20251121_184600,29350.0,2281.0,0.8666262241095416,21.425,2175.0699999999997,4.546749999999999,433.0
Medium,Influx,results_20251121_184657,33888.0,2233.0,0.7306736811340055,21.16,2008.6866666666672,3.9197826086956518,433.0
Medium,Influx,results_20251121_184800,30851.0,2350.0,0.8698677800974252,21.678947368421053,2245.755263157896,4.100975609756097,433.0
Medium,Influx,results_20251121_184858,36821.0,2745.0,0.6771397616468039,25.006122448979596,2218.755102040817,3.269807692307693,433.0
Medium,Influx,results_20251121_185006,26545.0,3108.0,0.4409559925919393,23.993181818181814,2383.359090909091,3.7325,433.0
Medium,Influx,results_20251121_185111,33153.0,2642.0,0.6612881893929374,22.31590909090909,2285.5568181818176,3.6542222222222227,433.0
Medium,Influx,results_20251121_185216,37527.0,2226.0,1.1095084877399313,17.651162790697676,2148.9860465116276,3.7966666666666673,433.0
Medium,Influx,results_20251121_185317,29472.0,3131.0,0.9254974548819991,22.4875,2038.475,3.729761904761905,433.0
Medium,Influx,results_20251121_185413,37642.0,2370.0,0.8862105636299185,20.78409090909091,2170.3,3.44125,433.0
Medium,Influx,results_20251121_185517,22143.0,2524.0,0.8409721638213775,23.78181818181818,2187.909090909091,4.273714285714286,433.0
Medium,Influx,results_20251121_185607,32433.0,2662.0,0.6512112529304507,20.808695652173913,2239.3130434782606,3.3654166666666665,433.0
Medium,Influx,results_20251121_185710,29228.0,2619.0,0.7530687551773477,24.54102564102564,2284.3948717948724,3.5383333333333336,433.0
Medium,Influx,results_20251121_185808,25954.0,3718.0,0.6245316012990257,25.709756097560973,1998.6853658536586,3.841463414634146,433.0
Medium,Influx,results_20251121_185906,23046.0,4343.0,0.6613756613756614,22.620512820512822,2309.551282051281,3.8914634146341465,433.0
Medium,Influx,results_20251121_190001,20577.0,2654.0,0.6278252134605725,29.738888888888887,2385.722222222222,4.093333333333333,433.0
Medium,Influx,results_20251121_190054,26373.0,3631.0,0.644122383252818,27.28048780487805,2283.509756097561,3.6651219512195117,433.0
Medium,Influx,results_20251121_190152,20394.0,2624.0,0.697350069735007,26.144444444444442,2396.6055555555554,4.043157894736842,433.0
Medium,Influx,results_20251121_190242,26937.0,4357.0,0.7371913011426465,20.94390243902439,2314.051219512195,3.212727272727273,433.0
Medium,Influx,results_20251121_190340,29762.0,3074.0,0.6181615874389566,24.35217391304348,2298.532608695652,3.5353488372093027,433.0
Medium,Influx,results_20251121_190442,32615.000000000004,2791.0,0.7110858280594468,26.048837209302327,2060.190697674419,3.2321739130434786,433.0
Medium,Influx,results_20251121_190544,24303.0,2584.0,0.5989817310572028,27.544999999999998,2031.2724999999998,3.689,433.0
